Student_id;Semester;FachEndNote
1;4028;2
6;4020;2
16;4032;2
18;4028;1
21;4032;2
24;4035;2
25;4018;2
34;4034;1
35;4034;2
36;4035;2
38;4029;1
41;4028;2
46;4035;2
48;4032;2
50;4023;2
51;4020;2
56;4026;2
60;4020;2
62;4026;2
66;4031;2
67;4035;3
68;4023;2
73;4032;2
75;4028;2
77;4026;1
78;4030;1
81;4030;1
83;4031;2
85;4024;2
88;4022;2
91;4032;2
94;4021;2
96;4016;2
100;4032;2
106;4031;2
107;4035;2
108;4022;2
109;4023;2
110;4029;2
112;4022;2
115;4024;1
117;4024;2
122;4031;2
129;4032;2
130;4029;1
138;4022;2
139;4031;2
143;4033;3
146;4021;2
150;4018;2
151;4022;3
153;4033;2
159;4024;3
160;4023;2
161;4020;2
163;4029;3
165;4035;2
167;4020;3
168;4019;3
170;4019;2
177;4031;1
187;4020;2
189;4027;2
190;4021;2
191;4018;2
196;4023;2
204;4028;2
209;4032;2
213;4022;2
221;4024;2
226;4024;2
231;4026;2
234;4019;3
236;4033;2
238;4031;3
251;4029;2
253;4035;2
257;4034;3
259;4022;2
266;4034;2
269;4020;2
272;4018;1
276;4020;2
279;4018;2
298;4027;3
299;4032;3
305;4035;1
310;4030;2
312;4024;2
314;4020;2
319;4031;2
323;4025;2
324;4026;1
325;4022;2
327;4017;2
330;4032;1
334;4032;2
337;4024;2
341;4032;2
342;4023;2
346;4022;2
347;4033;3
354;4028;2
359;4024;2
362;4031;2
370;4026;2
376;4025;1
380;4016;2
382;4024;2
383;4027;2
386;4034;2
388;4018;2
392;4023;2
393;4028;2
395;4021;2
400;4028;2
403;4035;3
405;4034;2
408;4035;2
412;4026;1
423;4031;2
425;4034;1
426;4035;3
429;4032;2
432;4027;2
451;4021;2
455;4020;2
456;4028;2
464;4030;2
465;4025;2
473;4027;2
475;4019;1
476;4032;2
478;4022;2
480;4025;2
486;4031;2
488;4028;2
490;4034;2
491;4034;1
498;4030;2
503;4035;2
508;4027;3
509;4029;2
517;4021;1
529;4027;2
530;4028;2
535;4025;2
537;4026;1
542;4023;2
543;4029;1
544;4022;3
558;4020;2
561;4019;2
565;4035;2
566;4030;1
568;4027;3
569;4022;2
570;4018;2
572;4034;2
573;4034;2
574;4023;2
575;4019;1
580;4034;2
585;4021;2
586;4026;2
587;4026;1
590;4029;2
595;4025;2
600;4027;2
602;4019;1
605;4033;2
608;4018;2
613;4027;3
615;4029;1
617;4028;2
619;4032;2
620;4025;1
624;4019;2
625;4023;2
628;4030;2
635;4020;2
637;4035;2
638;4024;3
641;4033;2
648;4021;2
649;4026;2
651;4022;2
655;4018;2
657;4016;2
664;4023;2
666;4028;1
667;4022;2
672;4034;2
676;4032;2
679;4018;2
680;4023;2
682;4021;3
688;4022;2
693;4029;2
695;4022;2
700;4033;2
703;4018;1
717;4032;2
720;4025;2
723;4027;2
728;4030;2
730;4028;2
739;4025;2
741;4022;2
743;4025;2
744;4028;2
746;4033;2
748;4029;1
749;4018;2
754;4029;2
755;4032;2
763;4019;2
765;4035;2
768;4024;2
770;4035;2
772;4027;2
782;4021;2
785;4034;1
788;4031;3
790;4032;2
792;4035;1
795;4020;2
796;4026;1
801;4026;1
813;4035;2
814;4030;2
824;4027;2
828;4020;2
836;4029;2
839;4028;2
843;4028;2
845;4024;2
847;4024;2
851;4028;2
855;4033;2
858;4022;3
859;4034;2
860;4022;2
863;4020;2
869;4026;2
872;4030;2
881;4031;2
882;4021;2
883;4026;1
