Student_id;Wechsel;Abbruch;Durchschnittsnote;EndNote
0;0;1;0.00;0.00
1;0;0;2.51;2.26
2;0;0;2.28;0.00
3;0;0;2.80;0.00
4;0;1;2.43;0.00
5;0;1;3.30;0.00
6;0;0;2.11;2.06
7;0;1;0.00;0.00
8;0;0;2.06;0.00
9;0;1;1.38;0.00
10;0;1;2.80;0.00
13;0;1;0.00;0.00
16;0;0;2.19;2.10
17;0;1;1.56;0.00
18;0;0;1.42;1.21
19;0;0;2.48;0.00
21;0;0;2.12;2.06
22;0;0;2.59;0.00
23;0;1;0.00;0.00
24;0;0;2.40;2.20
25;0;0;1.84;1.92
26;0;1;2.27;0.00
27;0;1;0.00;0.00
28;0;1;3.30;0.00
32;0;1;3.53;0.00
33;0;1;2.50;0.00
34;0;0;1.42;1.21
35;0;0;2.20;2.10
36;0;0;1.78;1.89
37;0;1;2.78;0.00
38;0;0;1.41;1.21
39;0;1;2.40;0.00
40;0;1;2.50;0.00
41;0;0;2.07;2.04
42;0;0;2.62;0.00
43;0;1;2.61;0.00
45;0;1;2.80;0.00
46;0;0;2.28;2.14
47;0;1;0.00;0.00
48;0;0;2.22;2.11
49;0;1;1.67;0.00
50;0;0;2.39;2.20
51;0;0;2.32;2.16
52;0;1;0.00;0.00
53;0;1;3.24;0.00
54;0;0;1.79;0.00
55;0;0;1.30;0.00
56;0;0;1.91;1.96
58;0;1;1.53;0.00
60;0;0;1.98;1.99
62;0;0;1.78;1.89
65;0;0;2.05;0.00
66;0;0;2.23;2.12
67;0;0;2.82;2.91
68;0;0;2.41;2.21
70;0;1;3.30;0.00
71;0;1;2.82;0.00
72;0;1;0.00;0.00
73;0;0;1.76;1.88
74;0;0;2.10;0.00
75;0;0;2.15;2.08
77;0;0;1.48;1.24
78;0;0;1.51;1.26
79;0;0;1.93;0.00
80;0;0;1.65;0.00
81;0;0;1.37;1.19
82;0;0;0.00;0.00
83;0;0;1.85;1.93
85;0;0;2.00;2.00
87;0;1;2.98;0.00
88;0;0;2.28;2.14
89;0;1;2.55;0.00
90;0;0;1.44;0.00
91;0;0;1.66;1.83
93;0;1;2.89;0.00
94;0;0;2.31;2.16
95;0;1;2.97;0.00
96;0;0;2.26;2.13
97;0;1;2.47;0.00
98;0;0;1.97;0.00
99;0;1;3.30;0.00
100;0;0;1.92;1.96
