Unit_id;Wahlpflicht;Plansemester;Durchschnittsnote;Durchschnittsnote_5
143006;0;1;2.10;2.59
143009;0;2;2.27;2.45
143010;0;2;2.44;2.89
143013;0;3;2.04;2.20
143019;0;4;1.90;2.04
143021;0;4;1.92;2.06
143033;1;5;1.58;1.61
143034;1;5;1.83;1.87
143039;0;2;0.00;0.00
143040;0;2;0.00;0.00
143041;0;2;0.00;0.00
143044;0;3;0.00;0.00
143050;0;4;0.00;0.00
143051;0;4;0.00;0.00
143061;1;5;0.00;0.00
143062;1;5;0.00;0.00
143063;0;0;1.54;1.56
143064;0;1;2.60;3.01
143065;0;1;0.00;0.00
143066;0;2;2.64;3.10
143067;0;2;0.00;0.00
143069;0;3;0.00;0.00
143097;1;45;1.62;1.62
143098;1;45;0.00;0.00
143099;1;45;1.79;1.79
143100;1;45;0.00;0.00
143101;1;45;1.50;1.50
143102;1;45;0.00;0.00
143105;0;5;1.70;1.70
143106;0;5;1.58;1.58
143107;1;45;1.55;1.55
143108;1;45;0.00;0.00
143109;1;45;1.84;1.84
143110;1;45;0.00;0.00
143111;1;45;1.77;1.77
143112;1;45;0.00;0.00
143113;1;45;1.97;1.97
143114;1;45;0.00;0.00
143115;1;45;1.96;1.96
143116;1;45;0.00;0.00
143117;1;45;2.22;2.22
143118;1;45;2.22;2.22
143119;1;45;1.80;2.44
143120;1;45;0.00;0.00
143125;1;45;1.83;1.83
143126;1;45;0.00;0.00
143127;1;45;1.84;1.84
143128;1;45;0.00;0.00
143129;1;45;1.50;1.50
143130;1;45;0.00;0.00
143132;0;1;2.60;3.02
143133;0;1;2.06;2.15
143135;0;1;2.08;2.18
143137;0;1;2.39;2.98
143140;0;2;2.44;2.82
143144;0;2;2.19;2.31
143147;0;3;2.01;2.19
143149;0;3;2.35;2.63
143151;0;3;2.64;2.94
143153;0;3;1.87;2.23
143156;0;4;1.89;2.18
143158;0;4;1.83;2.03
143162;0;6;0.00;0.00
143163;0;5;1.61;1.67
143164;1;45;1.85;2.11
143165;1;45;2.18;2.39
143166;1;45;2.07;2.24
143167;1;45;1.94;2.12
143168;1;5;2.58;2.83
143169;1;45;2.12;2.31
143170;1;45;1.48;1.48
143172;1;45;1.61;1.61
143173;1;45;1.68;1.68
143174;1;45;1.72;1.72
143175;1;45;1.53;1.53
143176;1;45;1.63;1.63
143177;1;45;2.08;2.08
143178;1;45;1.74;2.09
143179;1;45;1.80;1.80
143181;1;45;2.19;2.19
