ID;Semester;HZBNote;Art
1760;4031;2;allgemeine Hochschulreife
1334;4031;3;allgemeine Hochschulreife
1237;4031;3;allgemeine Hochschulreife
1883;4031;4;allgemeine Hochschulreife
2521;4031;4;allgemeine Hochschulreife
378;4031;;allgemeine Hochschulreife
284;4031;3;allgemeine Hochschulreife
754;4011;2;allgemeine Hochschulreife
2557;4011;;allgemeine Hochschulreife
2417;4012;3;allgemeine Hochschulreife
151;4012;;allgemeine Hochschulreife
1747;4012;3;allgemeine Hochschulreife
1338;4012;2;allgemeine Hochschulreife
608;4012;3;allgemeine Hochschulreife
515;4012;3;allgemeine Hochschulreife
795;4012;;allgemeine Hochschulreife
1857;4012;3;allgemeine Hochschulreife
2691;4012;3;allgemeine Hochschulreife
648;4012;3;allgemeine Hochschulreife
1490;4012;4;allgemeine Hochschulreife
1649;4011;2;allgemeine Hochschulreife
599;4011;2;allgemeine Hochschulreife
96;4011;2;allgemeine Hochschulreife
831;4011;2;allgemeine Hochschulreife
1875;4011;;allgemeine Hochschulreife
1717;4011;4;allgemeine Hochschulreife
175;4011;3;allgemeine Hochschulreife
2504;4011;3;allgemeine Hochschulreife
2152;4011;2;allgemeine Hochschulreife
659;4031;2;allgemeine Hochschulreife
1339;4031;4;Fachhochschulreife
452;4031;3;allgemeine Hochschulreife
536;4031;3;allgemeine Hochschulreife
917;4031;3;allgemeine Hochschulreife
525;4011;2;allgemeine Hochschulreife
234;4012;3;allgemeine Hochschulreife
1605;4012;3;allgemeine Hochschulreife
2040;4012;3;allgemeine Hochschulreife
2455;4012;3;allgemeine Hochschulreife
925;4012;3;allgemeine Hochschulreife
2571;4012;3;allgemeine Hochschulreife
2496;4012;2;allgemeine Hochschulreife
2043;4012;3;allgemeine Hochschulreife
1297;4011;2;allgemeine Hochschulreife
2255;4021;3;allgemeine Hochschulreife
1618;4011;2;allgemeine Hochschulreife
863;4011;3;allgemeine Hochschulreife
1865;4011;2;allgemeine Hochschulreife
449;4011;3;allgemeine Hochschulreife
1982;4013;;allgemeine Hochschulreife
2073;4016;3;allgemeine Hochschulreife
181;4015;3;allgemeine Hochschulreife
365;4031;4;allgemeine Hochschulreife
246;4031;2;allgemeine Hochschulreife
2323;4011;2;allgemeine Hochschulreife
170;4012;3;allgemeine Hochschulreife
1382;4012;2;allgemeine Hochschulreife
2158;4012;2;allgemeine Hochschulreife
2405;4012;2;allgemeine Hochschulreife
1844;4012;2;allgemeine Hochschulreife
607;4011;3;allgemeine Hochschulreife
2172;4011;3;allgemeine Hochschulreife
2530;4011;2;allgemeine Hochschulreife
287;4011;4;allgemeine Hochschulreife
2676;4011;2;allgemeine Hochschulreife
416;4011;3;allgemeine Hochschulreife
1542;4011;2;allgemeine Hochschulreife
1687;4011;2;allgemeine Hochschulreife
2288;4013;3;allgemeine Hochschulreife
2456;4016;3;allgemeine Hochschulreife
1359;4017;4;allgemeine Hochschulreife
1341;4017;3;allgemeine Hochschulreife
1392;4017;3;allgemeine Hochschulreife
337;4017;3;allgemeine Hochschulreife
869;4017;3;allgemeine Hochschulreife
1483;4017;2;allgemeine Hochschulreife
2089;4017;2;allgemeine Hochschulreife
1426;4017;3;allgemeine Hochschulreife
325;4017;2;allgemeine Hochschulreife
1333;4017;3;allgemeine Hochschulreife
1044;4017;1;allgemeine Hochschulreife
2074;4018;3;allgemeine Hochschulreife
2069;4018;3;allgemeine Hochschulreife
1710;4018;3;allgemeine Hochschulreife
1829;4018;;allgemeine Hochschulreife
1326;4018;3;allgemeine Hochschulreife
1912;4018;3;allgemeine Hochschulreife
1184;4019;3;allgemeine Hochschulreife
1820;4019;3;allgemeine Hochschulreife
1236;4019;2;allgemeine Hochschulreife
298;4019;3;allgemeine Hochschulreife
376;4019;2;allgemeine Hochschulreife
2499;4017;3;allgemeine Hochschulreife
1892;4017;3;allgemeine Hochschulreife
680;4017;3;allgemeine Hochschulreife
1644;4017;3;allgemeine Hochschulreife
301;4017;2;allgemeine Hochschulreife
1517;4017;3;allgemeine Hochschulreife
826;4017;2;allgemeine Hochschulreife
1013;4017;3;allgemeine Hochschulreife
2448;4017;2;allgemeine Hochschulreife
1981;4018;3;allgemeine Hochschulreife
2428;4018;3;allgemeine Hochschulreife
