ID;Unit;Semester;Note;BNF
1417;143014;3997;5,0;5
1417;143001;3998;NT;5
1417;143004;3998;4,0;5
1417;143014;3998;2,3;5
1417;143003;3999;2,3;5
1417;143005;3999;NT;5
1417;143009;3999;4,0;5
1417;143037;3999;belegt;E
1417;143040;3999;m.E.;E
1417;143045;3999;m.E.;E
1361;143001;4000;5,0;5
1361;143003;4000;3,3;5
1361;143004;4000;4,0;5
1417;143027;4000;NT;5
1417;143037;4000;belegt;E
1417;143042;4000;belegt;E
1361;143001;4001;5,0;5
1417;143005;4001;NT;5
1361;143005;4001;5,0;5
1361;143007;4001;NT;5
1361;143008;4001;3,3;5
1361;143011;4001;2,3;5
1361;143014;4001;5,0;5
1417;143016;4001;NT;5
1417;143017;4001;NT;5
1361;143018;4001;4,0;5
1417;143037;4001;o.E.;E
1361;143001;4002;4,0;5
1417;143005;4002;2,3;5
1361;143005;4002;2,3;5
1417;143006;4002;2,3;5
1417;143008;4002;NT;5
1361;143012;4002;NT;5
1361;143014;4002;NT;5
1417;143016;4002;NT;5
1361;143016;4002;3,3;5
1417;143001;4003;NT;5
1361;143007;4003;5,0;5
1361;143010;4003;4,0;5
1417;143011;4003;NT;5
1361;143012;4003;NT;5
1361;143013;4003;1,3;5
1361;143014;4003;5,0;5
1361;143017;4003;NT;5
1361;143022;4003;3,3;5
1417;143037;4003;m.E.;E
1417;143001;4004;3,3;5
1361;143002;4004;5,0;5
1417;143007;4004;3,3;5
1361;143007;4004;4,0;5
1361;143007;4004;NT;5
1417;143008;4004;NT;5
1361;143009;4004;5,0;5
1417;143011;4004;NT;5
1361;143012;4004;NT;5
1417;143013;4004;3,3;5
1361;143014;4004;3,3;5
1417;143015;4004;NT;5
1361;143015;4004;2,3;5
1417;143016;4004;5,0;5
1417;143017;4004;NT;5
1361;143017;4004;5,0;5
1417;143018;4004;5,0;5
1417;143027;4004;3,3;5
1417;143044;4004;m.E.;E
1361;143002;4005;NT;5
1361;143009;4005;4,0;5
1361;143012;4005;5,0;5
1361;143012;4005;5,0;5
1417;143015;4005;NT;5
1417;143016;4005;2,3;5
1417;143017;4005;3,3;5
1361;143017;4005;NT;5
1417;143018;4005;NT;5
1417;143022;4005;NT;5
1417;143023;4005;NT;5
1417;143047;4005;2,3;5
1417;143048;4005;3,3;5
1361;143002;4006;4,0;5
1417;143008;4006;2,3;5
1417;143011;4006;NT;5
1361;143012;4006;4,0;5
1417;143015;4006;NT;5
1361;143017;4006;4,0;5
1417;143018;4006;NT;5
1361;143023;4006;NT;5
1417;143039;4006;m.E.;E
1417;143011;4007;3,3;5
1417;143012;4007;4,0;5
1417;143015;4007;5,0;5
1417;143018;4007;4,0;5
1361;143019;4007;2,3;5
1361;143023;4007;NT;5
1417;143042;4007;m.E.;E
1417;143043;4007;m.E.;E
1417;143049;4007;m.E.;E
1417;143015;4008;2,3;5
1417;143015;4008;2,3;5
1417;143021;4008;5,0;5
1417;143021;4008;NT;5
390;143022;4008;2,3;5
1417;143022;4008;NT;5
1361;143023;4008;NT;5
1417;143025;4008;2,3;5
1417;143046;4008;2,3;5
390;143052;4008;m.E.;E
1417;143055;4008;2,3;5
1417;143002;4009;2,3;5
1417;143021;4009;NT;5
1417;143022;4009;4,0;5
1417;143023;4009;2,3;5
1361;143023;4009;NT;5
1361;143025;4009;NT;5
